Crystal_Structure,Lattice_Parameters,formula,TN,Space_Group,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,compound possible,max ionic char,avg ionic char
Perovskite,"{'a': '5.435 Ã…', 'b': '5.401 Ã…', 'c': '7.626 Ã…'}",Bi0.5Ca0.4Sr0.1MnO3,140.0,Pbnm,Bi0.5 Ca0.4 Sr0.1 Mn1 O3,8.0,83.0,75.0,20.46,15.0256,8.0,7.0,87.0,80.0,71.92,20.912,87.0,15.9994,208.9804,192.981,46.443929000000004,37.55198344,15.9994,54.8,1519.0,1464.2,501.32,535.824,54.8,2.0,16.0,14.0,12.7,4.42,16.0,2.0,6.0,4.0,3.02,1.224,2.0,66.0,195.0,129.0,100.17999999999999,41.016,66.0,0.95,3.44,2.49,2.675,0.9179999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.7,1.6199999999999999,4.0,0.0,10.0,10.0,2.0,2.8,0.0,0.0,14.0,14.0,1.4,2.5199999999999996,0.0,2.0,29.0,27.0,8.1,4.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,0.9,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.1,2.0,9.105,54.23,45.125,14.96171724138,8.817713103448,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,12.0,225.0,213.0,74.3,87.22,12.0,5,0.6456004956627589,0.6086883938797322,0.6005134414948008,0.6000395552174125,0.600001017196345,2.0,2.7,2.0,1.4,0.2469135802469136,0.33333333333333337,0.2469135802469136,0.1728395061728395,d,Mn,-0.26654,d,Mn,-0.26654,0.0,,,
Rhombohedral perovskite,"{'a': '5.598', 'b': '5.598', 'c': '13.858'}",Bi0.9Ba0.1Fe0.81Co0.09Ti0.1O3,597.45,R3c,Bi0.9 Ba0.1 Fe0.81 Co0.09 Ti0.1 O3,8.0,83.0,75.0,25.998,21.75752,8.0,9.0,87.0,78.0,78.674,12.628559999999997,87.0,15.9994,208.9804,192.981,61.02767951,56.31495219599999,15.9994,54.8,1941.0,1886.2,514.8979999999999,552.1175999999999,54.8,2.0,16.0,14.0,13.878,2.95032,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,97.392,37.6704,66.0,0.89,3.44,2.55,2.8065,0.7601999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.94,1.2936,4.0,0.0,10.0,10.0,2.9379999999999997,3.6806399999999995,0.0,0.0,14.0,14.0,2.52,4.1328000000000005,0.0,2.0,29.0,27.0,10.398,6.696720000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.7399999999999998,0.7656000000000003,2.0,0.0,8.0,8.0,0.8620000000000001,1.3792000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6020000000000003,0.8264800000000001,2.0,9.105,63.59,54.485,14.922270000000001,8.507401200000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3698003058666667,0.6064716002880001,0.0,12.0,229.0,217.0,58.410000000000004,72.3996,12.0,6,0.6478950532300737,0.6092145763461811,0.600463084301058,0.6000277079020953,0.6000004778269671,2.0,2.94,2.9379999999999997,2.52,0.19234468166955185,0.2827466820542412,0.28255433737257163,0.24235429890363533,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
Rhombohedral perovskite,"{'a': '5.590', 'b': '5.590', 'c': '13.848'}",Bi0.9Ba0.1Fe0.81Mn0.09Ti0.1O3,608.85,R3c,Bi0.9 Ba0.1 Fe0.81 Mn0.09 Ti0.1 O3,8.0,83.0,75.0,25.962,21.747511999999997,8.0,9.0,87.0,78.0,78.566,12.797039999999999,87.0,15.9994,208.9804,192.981,60.95576681,56.34371727600001,15.9994,54.8,1941.0,1886.2,510.416,546.7392,54.8,2.0,16.0,14.0,13.841999999999999,3.0064800000000007,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,97.626,37.9512,66.0,0.89,3.44,2.55,2.80056,0.767328,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.94,1.2936,4.0,0.0,10.0,10.0,2.9019999999999997,3.6345600000000005,0.0,0.0,14.0,14.0,2.52,4.1328000000000005,0.0,2.0,29.0,27.0,10.362,6.7096800000000005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.7399999999999998,0.7656000000000003,2.0,0.0,8.0,8.0,0.898,1.4368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6380000000000003,0.8711200000000001,2.0,9.105,63.59,54.485,14.9266365517242,8.505479917241352,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3419334064390805,0.5730683235137379,0.0,12.0,229.0,217.0,58.824,73.04543999999999,12.0,6,0.6478950532300737,0.6092145763461811,0.600463084301058,0.6000277079020953,0.6000004778269671,2.0,2.94,2.9019999999999997,2.52,0.19301293186643506,0.2837290098436595,0.2800617641381972,0.24319629415170815,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
Rhombohedral perovskite,"{'a': '5.610', 'b': '5.610', 'c': '13.916'}",Bi0.9Ba0.1Fe0.81Sc0.09Ti0.1O3,567.05,R3c,Bi0.9 Ba0.1 Fe0.81 Sc0.09 Ti0.1 O3,8.0,83.0,75.0,25.889999999999997,21.79964,8.0,9.0,87.0,78.0,77.828,13.948319999999995,87.0,15.9994,208.9804,192.981,60.77608841599999,56.415588633599995,15.9994,54.8,1941.0,1886.2,515.726,553.1111999999999,54.8,2.0,16.0,14.0,13.77,3.1188000000000002,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,98.184,38.6208,66.0,0.89,3.44,2.55,2.79714,0.771432,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.94,1.2936,4.0,0.0,10.0,10.0,2.8299999999999996,3.6082799999999997,0.0,0.0,14.0,14.0,2.52,4.1328000000000005,0.0,2.0,29.0,27.0,10.290000000000001,6.735600000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.7399999999999998,0.7656000000000003,2.0,0.0,9.0,9.0,0.97,1.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.71,0.9603999999999999,2.0,9.105,63.59,54.485,15.138090000000002,8.667929160000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3419279385666667,0.5730700951044001,0.0,12.0,229.0,217.0,58.410000000000004,72.3996,12.0,6,0.6478950532300737,0.6092145763461811,0.600463084301058,0.6000277079020953,0.6000004778269671,2.0,2.94,2.8299999999999996,2.52,0.1943634596695821,0.2857142857142857,0.27502429543245865,0.24489795918367344,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
Rhombohedral perovskite,"{'a': '5.591', 'b': '5.591', 'c': '13.865'}",Bi0.9Ba0.1Fe0.81Al0.09Ti0.1O3,568.95,R3c,Bi0.9 Ba0.1 Fe0.81 Al0.09 Ti0.1 O3,8.0,83.0,75.0,25.746000000000002,21.903896,8.0,9.0,87.0,78.0,78.944,12.207359999999998,87.0,15.9994,208.9804,192.981,60.4525496948,56.54500412207999,15.9994,54.8,1941.0,1886.2,499.87645999999995,534.091752,54.8,2.0,16.0,14.0,13.95,2.838,16.0,2.0,6.0,4.0,3.182,1.424952,2.0,66.0,215.0,149.0,97.30199999999999,37.562400000000004,66.0,0.89,3.44,2.55,2.80164,0.766032,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.9579999999999997,1.26552,4.0,0.0,10.0,10.0,2.812,3.6205920000000007,0.0,0.0,14.0,14.0,2.52,4.1328000000000005,0.0,2.0,29.0,27.0,10.290000000000001,6.735600000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.83,0.73932,2.0,0.0,8.0,8.0,0.808,1.3218880000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6380000000000003,0.8711200000000001,2.0,9.105,63.59,54.485,15.0345,8.510058,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3419278242666667,0.5730701321376002,0.0,12.0,229.0,217.0,58.967999999999996,73.27008000000001,12.0,6,0.6478950532300737,0.6092145763461811,0.600463084301058,0.6000277079020953,0.6000004778269671,2.0,2.9579999999999997,2.812,2.52,0.1943634596695821,0.2874635568513119,0.27327502429543243,0.24489795918367344,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
Perovskite,,YFeO3,655.0,Pnma,Y1 Fe1 O3,8.0,39.0,31.0,17.8,11.76,8.0,12.0,87.0,75.0,65.6,25.68,87.0,15.9994,88.90585,72.90645,38.54981,27.060492,15.9994,54.8,1811.0,1756.2,754.88,840.0959999999999,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,190.0,124.0,104.0,45.6,66.0,1.22,3.44,2.2199999999999998,2.6740000000000004,0.9192,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,32.365,23.26,14.081999999999999,7.313199999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.4,1.4,0.0,0.3448275862068966,0.41379310344827586,0.24137931034482757,0.0,d,Fe,-0.295049,d,Fe,-0.295049,0.0,True,0.7083205926780534,0.1457823019724547
Post-perovskite,"{'a': '3.147', 'b': '9.863', 'c': '7.299'}",CaIrO3,115.0,Cmcm,Ca1 Ir1 O3,8.0,77.0,69.0,24.2,21.119999999999997,8.0,7.0,87.0,80.0,65.6,25.68,87.0,15.9994,192.217,176.2176,56.058640000000004,54.463344000000006,15.9994,54.8,2739.0,2684.2,803.6800000000001,898.6560000000002,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,176.0,110.0,103.0,44.4,66.0,1.0,3.44,2.44,2.7039999999999997,0.8832000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,2.0,23.0,21.0,8.6,5.76,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,9.105,37.77,28.665000000000003,15.859,8.7644,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.4,1.4,2.8,0.23255813953488372,0.27906976744186046,0.1627906976744186,0.3255813953488372,d,Ir,-0.335189,d,Ir,-0.335189,0.0,True,0.7742664595807831,0.14330183861582174
Orthorhombic Perovskite,"{'a': '5.673 Ã…', 'b': '7.531 Ã…', 'c': '5.288 Ã…'}",DyFe0.6Mn0.4O3,390.0,Pnma,Dy1 Fe0.6 Mn0.4 O3,8.0,66.0,58.0,23.119999999999997,18.144,8.0,31.0,87.0,56.0,69.16,21.407999999999998,87.0,15.9994,162.5,146.5006,53.196083599999994,44.63602031999999,15.9994,54.8,1811.0,1756.2,708.72,784.7040000000001,54.8,3.0,16.0,13.0,11.72,5.136,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,192.0,126.0,104.96,46.751999999999995,66.0,1.22,3.44,2.2199999999999998,2.6516,0.9460799999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.1199999999999999,1.7919999999999998,0.0,0.0,10.0,10.0,2.0,3.2,0.0,6.0,12.0,6.0,7.5200000000000005,1.9072000000000002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,0.8800000000000001,1.4080000000000001,0.0,0.0,4.0,4.0,0.8,1.28,0.0,2.0,5.0,3.0,2.88,1.056,2.0,9.105,31.24,22.134999999999998,13.837606896552,6.9609572413792,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.2533043456551724,0.44576602904275864,0.0,12.0,229.0,217.0,90.84,94.60799999999999,12.0,4,0.6486909896090742,0.609335476288203,0.6005363242807298,0.6000403458480008,0.6000010223479758,2.0,2.4,1.1199999999999999,2.0,0.26595744680851063,0.3191489361702127,0.14893617021276592,0.26595744680851063,f,Dy,-0.265302,f,Dy,-0.265302,0.0,,,
Orthorhombic Perovskite,,DyFeO3,645.0,Pnma,Dy1 Fe1 O3,8.0,66.0,58.0,23.2,18.24,8.0,31.0,87.0,56.0,69.4,21.119999999999997,87.0,15.9994,162.5,146.5006,53.268640000000005,44.723088000000004,15.9994,54.8,1811.0,1756.2,732.08,812.7360000000001,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,192.0,126.0,104.4,46.08,66.0,1.22,3.44,2.2199999999999998,2.6740000000000004,0.9192,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,10.0,10.0,2.0,3.2,0.0,6.0,12.0,6.0,7.6,1.92,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,4.0,4.0,0.8,1.28,0.0,2.0,4.0,2.0,2.8,0.96,2.0,9.105,31.24,22.134999999999998,13.857,6.953199999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.4,1.2,2.0,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.2631578947368421,f,Dy,-0.265302,f,Dy,-0.265302,0.0,True,0.7083205926780534,0.1457823019724547
GdFeO3-type,,SmRhO3,2.5,Pnma,Sm1 Rh1 O3,8.0,62.0,54.0,26.2,21.839999999999996,8.0,23.0,87.0,64.0,68.6,22.080000000000002,87.0,15.9994,150.36,134.3606,60.25274,53.104008,15.9994,54.8,2237.0,2182.2,749.28,833.376,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,198.0,132.0,107.6,49.92,66.0,1.17,3.44,2.27,2.754,0.8231999999999999,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,6.0,6.0,1.2,1.92,0.0,6.0,9.0,3.0,7.0,1.2,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,3.4,1.8399999999999999,2.0,9.105,33.23,24.124999999999996,14.837,7.357199999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,1.6,1.2,0.2571428571428572,0.34285714285714286,0.2285714285714286,0.17142857142857143,f,Sm,-0.21776,f,Sm,-0.21776,0.0,True,0.7242401773760752,0.13179246582258303
GdFeO3-type,,GdRhO3,2.2,Pnma,Gd1 Rh1 O3,8.0,64.0,56.0,26.6,22.32,8.0,27.0,87.0,60.0,69.4,21.119999999999997,87.0,15.9994,157.25,141.2506,61.63074,54.757608000000005,15.9994,54.8,2237.0,2182.2,797.48,891.216,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,196.0,130.0,107.2,49.44,66.0,1.2,3.44,2.24,2.7600000000000002,0.8160000000000001,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.8,2.48,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,6.0,10.0,4.0,7.4,1.6800000000000002,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.2,2.72,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,2.0,16.0,14.0,5.0,4.4,2.0,9.105,32.05,22.944999999999997,14.600999999999999,6.9796,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,1.8,1.4,0.24324324324324323,0.3243243243243243,0.24324324324324323,0.18918918918918917,p,O,-0.338381,p,O,-0.338381,0.0,True,0.7147530549426948,0.13016719681932065
GdFeO3-type,,TbRhO3,2.2,Pnma,Tb1 Rh1 O3,8.0,65.0,57.0,26.8,22.560000000000002,8.0,29.0,87.0,58.0,69.8,20.64,87.0,15.9994,158.92535,142.92595,61.96581,55.15969199999999,15.9994,54.8,2237.0,2182.2,806.08,901.5360000000001,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,194.0,128.0,106.8,48.96,66.0,1.21,3.44,2.23,2.762,0.8135999999999999,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,9.0,9.0,1.8,2.88,0.0,6.0,11.0,5.0,7.6,1.92,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,5.0,5.0,1.0,1.6,0.0,2.0,5.0,3.0,2.8,0.96,2.0,9.105,31.7366666667,22.6316666667,14.53833333334,6.8793333333439985,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,1.6,1.8,0.2368421052631579,0.3157894736842105,0.2105263157894737,0.2368421052631579,f,Tb,-0.256311,d,Rh,-0.239422,0.016889000000000015,True,0.7456133690005962,0.13551199583747103
GdFeO3-type,,DyRhO3,3.2,Pnma,Dy1 Rh1 O3,8.0,66.0,58.0,27.0,22.8,8.0,31.0,87.0,56.0,70.2,20.16,87.0,15.9994,162.5,146.5006,62.68074,56.017607999999996,15.9994,54.8,2237.0,2182.2,817.28,914.976,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,192.0,126.0,106.4,48.480000000000004,66.0,1.22,3.44,2.2199999999999998,2.7640000000000002,0.8111999999999998,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,10.0,10.0,2.0,3.2,0.0,6.0,12.0,6.0,7.8,2.16,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,4.0,4.0,0.8,1.28,0.0,2.0,4.0,2.0,2.6,0.72,2.0,9.105,31.24,22.134999999999998,14.438999999999998,6.7204,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,1.6,2.0,0.23076923076923078,0.3076923076923077,0.20512820512820515,0.25641025641025644,d,Rh,-0.239422,d,Rh,-0.239422,0.0,True,0.7083205926780534,0.12907383978949055
GdFeO3-type,,HoRhO3,2.4,Pnma,Ho1 Rh1 O3,8.0,67.0,59.0,27.2,23.04,8.0,33.0,87.0,54.0,70.6,19.68,87.0,15.9994,164.93032,148.93092,63.166804,56.600884799999996,15.9994,54.8,2237.0,2182.2,829.68,929.8560000000001,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,192.0,126.0,106.4,48.480000000000004,66.0,1.23,3.44,2.21,2.766,0.8088000000000001,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,6.0,13.0,7.0,8.0,2.4,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,3.0,3.0,0.6,0.96,0.0,2.0,3.0,1.0,2.4,0.48,2.0,9.105,30.7333333333,21.6283333333,14.337666666659999,6.5582666666559986,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,1.6,2.2,0.225,0.3,0.2,0.275,d,Rh,-0.239422,d,Rh,-0.239422,0.0,True,0.7050722889619607,0.12852429546828115
