_id,confidence,doi,names,raw_units,raw_value,sentence,specifier,units,value
22,0.548019106,https://doi.org/10.1016/B0-12-369401-9/00436-8,α-Fe2O3,K,953,"Dipole – dipole interactions orient the spins in the basal plane of α - Fe2O3 in the temperature interval 250 K < T < TN = 953 K ; but below the Morin temperature TM = 250 K , the spin orientation switches to the c - axis and the weak ferromagnetic component disappears abruptly .",TN,Kelvin^(1.0),953
23,0.7331931559451293,https://doi.org/10.1016/B0-08-043152-6/00467-8,thorium,K,1.368,"The critical temperatures Tc are 1.368 K for thorium , 1.4 K for protactinium , 0.68 K for α - uranium .",Tc,Kelvin^(1.0),1.368
24,0.7331931559451293,https://doi.org/10.1016/B0-08-043152-6/00467-8,thorium,K,1.4,"The critical temperatures Tc are 1.368 K for thorium , 1.4 K for protactinium , 0.68 K for α - uranium .",Tc,Kelvin^(1.0),1.4
25,0.7331931559451293,https://doi.org/10.1016/B0-08-043152-6/00467-8,thorium,K,0.68,"The critical temperatures Tc are 1.368 K for thorium , 1.4 K for protactinium , 0.68 K for α - uranium .",Tc,Kelvin^(1.0),0.68
26,0.8472778882249301,https://doi.org/10.1016/B0-08-043152-6/00467-8,"Americium, americium",K,0.625,"For heavier actinides , superconductivity was found for americium ( Tc = 0.625 K ) .",Tc,Kelvin^(1.0),0.625
27,0.8294626781241324,https://doi.org/10.1016/B0-08-043152-6/00467-8,Th2Fe17,K,295,Exceptions are compounds such as Th2Fe17 ( TC = 295 K ) .,TC,Kelvin^(1.0),295
28,0.8294626781241324,https://doi.org/10.1016/B0-08-043152-6/00467-8,Th2Co17,K,1035,"Exceptions are compounds such as Th2Co17 ( TC = 1035 K ) , in which magnetism is dominated by transition - metal components .",TC,Kelvin^(1.0),1035
29,0.5750598438457485,https://doi.org/10.1016/B0-08-043152-6/00467-8,AmFe2,K,162,"Relatively high TC values ( UFe2 162 K , NpFe2 492 K , PuFe2 564 K , AmFe2 613 K ) point to the dominance of the iron – sublattice exchange interactions , but actinide magnetic moments are non - negligible , reaching 1.1 μB per neptunium or 0.45μB for plutonium .",TC,Kelvin^(1.0),162
30,0.5206267384505667,https://doi.org/10.1016/B0-08-043152-6/00467-8,UFe5Co5Si2,K,750,The highest TC = 750 K was recorded for UFe5Co5Si2 .,TC,Kelvin^(1.0),750
31,0.7577350269189626,https://doi.org/10.1016/B0-08-043152-6/00467-8,CmN,K,109,"Whereas ThN and AmN are weakly magnetic , magnetic ordering appears for UN ( TN = 53 K ) , NpN ( TC≈90 K ) , presumably also in PuN ( TN = 13 K ) and CmN ( TC = 109 K ) , and data exist even for BkN ( TC = 88 K ) .",TC,Kelvin^(1.0),109
32,0.7577350269189626,https://doi.org/10.1016/B0-08-043152-6/00467-8,CmN,K,88,"Whereas ThN and AmN are weakly magnetic , magnetic ordering appears for UN ( TN = 53 K ) , NpN ( TC≈90 K ) , presumably also in PuN ( TN = 13 K ) and CmN ( TC = 109 K ) , and data exist even for BkN ( TC = 88 K ) .",TC,Kelvin^(1.0),88
33,0.7719603212862739,https://doi.org/10.1016/B0-08-043152-6/00467-8,U3Sb4,K,196,"Of the other compounds , a high magnetic ordering temperature can be found , for example , in U3As4 ( TC = 196 K ) , U3Sb4 ( TC = 146 K ) , even 400 K for AF ordering in U2N2As .",TC,Kelvin^(1.0),196
34,0.7719603212862739,https://doi.org/10.1016/B0-08-043152-6/00467-8,U2N2As,K,146,"Of the other compounds , a high magnetic ordering temperature can be found , for example , in U3As4 ( TC = 196 K ) , U3Sb4 ( TC = 146 K ) , even 400 K for AF ordering in U2N2As .",TC,Kelvin^(1.0),146
35,0.6338354268048705,https://doi.org/10.1016/B0-08-043152-6/00467-8,"Hydrogen, hydrogen",K,180,"With hydrogen , uranium forms a trihydride known as a ferromagnet ( TC = 180 K ) .",TC,Kelvin^(1.0),180
36,0.6488540948711177,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuH3,K,100,"AF order was found in PuH2 ( TN = 30 K ) , whereas PuH3 is ferromagnetic ( TC = 100 K ) .",TC,Kelvin^(1.0),100
37,0.6276867,https://doi.org/10.1016/B0-08-043152-6/00467-8,U2Rh2Sn,K,24,"However , Np2Rh2Sn is a nonmagnetic spin fluctuator , whereas U2Rh2Sn undergoes AF order ( TN = 24 K ) .",TN,Kelvin^(1.0),24
38,0.6757210732658111,https://doi.org/10.1016/B0-08-043152-6/00467-8,monopnictides,K,213,"The metallic character appears in most of the rocksalt type of compounds , monopnictides AnX ( An = U , Np , Pu ; X = P , As , Sb , Bi ) and monochalcogenides AnY ( An = U , Np ; Y = S , Se , Te ) , which are magnetically ordered and reach appreciable magnetic phase transition temperatures e . g . , TN = 213 K in USb or 285 K in UBi .",TN,Kelvin^(1.0),213
39,0.6757210732658111,https://doi.org/10.1016/B0-08-043152-6/00467-8,An,K,213,"The metallic character appears in most of the rocksalt type of compounds , monopnictides AnX ( An = U , Np , Pu ; X = P , As , Sb , Bi ) and monochalcogenides AnY ( An = U , Np ; Y = S , Se , Te ) , which are magnetically ordered and reach appreciable magnetic phase transition temperatures e . g . , TN = 213 K in USb or 285 K in UBi .",TN,Kelvin^(1.0),213
40,0.5377770326577991,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuC1-x,K,100,"PuC1 - x undergoes AF ordering with TN ranging between 100 K , depending on the stoichiometry .",TN,Kelvin^(1.0),100
41,0.5377770326577991,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuC1-x,K,30,"PuC1 - x undergoes AF ordering with TN ranging between 30 K , depending on the stoichiometry .",TN,Kelvin^(1.0),30
42,0.7755928946018453,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuN,K,13,"Whereas ThN and AmN are weakly magnetic , magnetic ordering appears for UN ( TN = 53 K ) , NpN ( TC≈90 K ) , presumably also in PuN ( TN = 13 K ) and CmN ( TC = 109 K ) , and data exist even for BkN ( TC = 88 K ) .",TN,Kelvin^(1.0),13
43,0.7755928946018453,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuN,K,109,"Whereas ThN and AmN are weakly magnetic , magnetic ordering appears for UN ( TN = 53 K ) , NpN ( TC≈90 K ) , presumably also in PuN ( TN = 13 K ) and CmN ( TC = 109 K ) , and data exist even for BkN ( TC = 88 K ) .",TN,Kelvin^(1.0),109
44,0.5605810639935345,https://doi.org/10.1016/B0-08-043152-6/00467-8,USb2,K,205,USb2 are antiferromagnets with TN = 205 K .,TN,Kelvin^(1.0),205
45,0.5726708267782523,https://doi.org/10.1016/B0-08-043152-6/00467-8,UAs2,K,273,UAs2 are antiferromagnets with TN = 273 K respectively .,TN,Kelvin^(1.0),273
46,0.5954467170558659,https://doi.org/10.1016/B0-08-043152-6/00467-8,UO2,K,31,"UO2 are antiferromagnets ( TN = 31 K , respectively ) .",TN,Kelvin^(1.0),31
47,0.7,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuH2,K,30,"AF order was found in PuH2 ( TN = 30 K ) , whereas PuH3 is ferromagnetic ( TC = 100 K ) .",TN,Kelvin^(1.0),30
48,0.7,https://doi.org/10.1016/B0-08-043152-6/00467-8,PuH2,K,100,"AF order was found in PuH2 ( TN = 30 K ) , whereas PuH3 is ferromagnetic ( TC = 100 K ) .",TN,Kelvin^(1.0),100
49,0.6105930196697678,https://doi.org/10.1016/B0-08-043152-6/00468-X,"cerium, gadolinium",K,293,"For example , gadolinium , in the middle of the series , has a 4f7 configuration with a magnetic moment equal to 7 μB in the ferromagnetic phase below the Curie temperature of 293 K , and there is no change in the number of 4f electrons under pressure , even a very high one .",Curie temperature,Kelvin^(1.0),293
50,0.5475385198950888,https://doi.org/10.1016/B0-08-043152-6/00468-X,mercury,K,4.15,Superconductivity was discovered experimentally in 1911 by Kamerlingh Onnes ( 1911 ) in mercury metal below Tc = 4.15 K .,Tc,Kelvin^(1.0),4.15
51,0.5692901086862234,https://doi.org/10.1016/B0-08-043152-6/00468-X,lanthanum,K,12.9,"The observed maximum Tc values up to 1986 were 9.25 K for niobium at normal pressure , 12.9 K for lanthanum at 200 kbar , 20.3 K for bulk Nb3Ga , and 23.2 K for a thin film of Nb3Ge ( Vonsovsky et al . 1982 , Tominez et al . 2000 ) .",Tc,Kelvin^(1.0),12.9
52,0.5692901086862234,https://doi.org/10.1016/B0-08-043152-6/00468-X,Nb3Ga,K,20.3,"The observed maximum Tc values up to 1986 were 9.25 K for niobium at normal pressure , 12.9 K for lanthanum at 200 kbar , 20.3 K for bulk Nb3Ga , and 23.2 K for a thin film of Nb3Ge ( Vonsovsky et al . 1982 , Tominez et al . 2000 ) .",Tc,Kelvin^(1.0),20.3
53,0.5387806613632617,https://doi.org/10.1016/B0-08-043152-6/00468-X,YBaCu3O7,K,90,"Since the mid -1980s there has been considerable interest in the study of superconducting materials , after the discovery by Bednorz of “ high Tc superconductivity . ” There are several series of high Tc superconducting materials : the LaSrCuO4 systems are superconducting below roughly 40 K , the YBaCu3O7 systems have a Tc larger than 90 K .",Tc,Kelvin^(1.0),90
54,0.5344269906813999,https://doi.org/10.1016/B0-08-043152-6/00468-X,LaSrCuO4,K,133,"Since the mid -1980s there has been progress in the study of superconducting materials , after the discovery by Muller ( 1986 ) of “ high Tc superconductivity . ” There are several series of high Tc superconducting materials : the LaSrCuO4 systems are superconducting below roughly 40 K , , the mercury - based compounds show the maximum Tc value of 133 K at normal pressure .",Tc,Kelvin^(1.0),133
55,0.5333333333333332,https://doi.org/10.1016/B0-08-043152-6/00468-X,CeCu2Si2,K,0.6,The discovery of superconductivity at Tc = 0.6 K in CeCu2Si2 at normal pressure ( Steglich et al . 1979 ) is very fascinating .,Tc,Kelvin^(1.0),0.6
56,0.5625488273111743,https://doi.org/10.1016/B0-08-043152-6/00468-X,cerium,K,0.6,"Superconductivity has been found at very high pressures around the QCP in several cerium compounds , namely CeCu2Ge2 at Tc = 0.6 K above 77 kbar , CePd2Si2 at Tc = 0.5 K above 23 kbar , CeRh2Si2 at Tc , CeCu2 around 60 kbar , CeIn3 below 0.2 K at 25 kbar .",Tc,Kelvin^(1.0),0.6
57,0.5625488273111743,https://doi.org/10.1016/B0-08-043152-6/00468-X,"Cerium, cerium",K,0.5,"Superconductivity has been found at very high pressures around the QCP in several cerium compounds , namely CeCu2Ge2 at Tc = 0.6 K above 77 kbar , CePd2Si2 at Tc = 0.5 K above 23 kbar , CeRh2Si2 at Tc , CeCu2 around 60 kbar , CeIn3 below 0.2 K at 25 kbar .",Tc,Kelvin^(1.0),0.5
